mjd,mag,magerr,filter
1326.641479,16.136839,0.018519,1
1326.662231,16.137903,0.018529,1
1326.683105,16.136200,0.018495,1
1326.703979,16.133343,0.018465,1
1326.724731,16.126604,0.018341,1
1326.745605,16.123680,0.018306,1
1326.766479,16.122303,0.018263,1
1326.787231,16.123020,0.018278,1
1326.808105,16.123226,0.018285,1
1326.828979,16.120914,0.018229,1
1326.849731,16.120113,0.018230,1
1326.870605,16.120247,0.018222,1
1326.891479,16.123671,0.018280,1
1326.912231,16.120834,0.018257,1
1326.933105,16.122347,0.018250,1
1326.953979,16.123446,0.018266,1
1326.974731,16.122696,0.018254,1
1326.995605,16.121445,0.018234,1
1327.016479,16.123083,0.018251,1
1327.037231,16.121853,0.018247,1
1327.058105,16.121397,0.018221,1
1327.078979,16.123039,0.018272,1
1327.099731,16.122992,0.018276,1
1327.120605,16.122795,0.018267,1
1327.141479,16.122972,0.018286,1
1327.162354,16.125702,0.018329,1
1327.183105,16.125835,0.018310,1
1327.203979,16.124287,0.018284,1
1327.224854,16.127197,0.018335,1
1327.245605,16.128031,0.018339,1
1327.266479,16.130466,0.018395,1
1327.287354,16.132950,0.018419,1
1327.308105,16.132511,0.018420,1
1327.328979,16.131847,0.018409,1
1327.349854,16.130882,0.018389,1
1327.370605,16.132580,0.018410,1
1327.391479,16.135126,0.018487,1
1327.412354,16.150078,0.018714,1
1327.433105,16.206461,0.019719,1
1327.453979,16.242380,0.020371,1
1327.474854,16.243628,0.020402,1
1327.495605,16.240402,0.020353,1
1327.516479,16.197001,0.019531,1
1327.537354,16.144289,0.018611,1
1327.558105,16.132328,0.018421,1
1327.578979,16.131670,0.018402,1
1327.599854,16.129190,0.018365,1
1327.620605,16.131859,0.018409,1
1327.641479,16.131210,0.018372,1
1327.662354,16.130501,0.018384,1
1327.683105,16.128279,0.018340,1
1327.703979,16.130066,0.018385,1
1327.724854,16.126070,0.018304,1
1327.745605,16.128983,0.018356,1
1327.766479,16.127939,0.018355,1
1327.787354,16.128382,0.018344,1
1327.808105,16.126564,0.018321,1
1327.828979,16.125895,0.018313,1
1327.849854,16.136061,0.019573,1
1327.870605,16.125782,0.018309,1
1327.891479,16.126219,0.018311,1
1327.912354,16.125708,0.018305,1
1327.933105,16.129007,0.018376,1
1327.953979,16.124479,0.018269,1
1327.974854,16.125877,0.018310,1
1327.995605,16.124172,0.018291,1
1328.016479,16.125669,0.018308,1
1328.037354,16.124630,0.018301,1
1328.058105,16.125071,0.018293,1
1328.078979,16.124401,0.018273,1
1328.099854,16.126600,0.018315,1
1328.120605,16.124813,0.018291,1
1328.141479,16.124617,0.018276,1
1328.162354,16.123854,0.018290,1
1328.183105,16.124025,0.018267,1
1328.203979,16.123983,0.018271,1
1328.224854,16.124531,0.018284,1
1328.245605,16.133860,0.018455,1
1328.266479,16.135283,0.018467,1
1328.287354,16.135572,0.018448,1
1328.308105,16.136066,0.018487,1
1328.328979,16.133608,0.018421,1
1328.349854,16.123844,0.018298,1
1328.370605,16.123589,0.018270,1
1328.391479,16.120916,0.018234,1
1328.412354,16.121502,0.018254,1
1328.433105,16.122477,0.018262,1
1328.453979,16.120962,0.018235,1
1328.474854,16.122238,0.018257,1
1328.495605,16.121664,0.018232,1
1328.516479,16.122040,0.018278,1
1328.537354,16.123404,0.018259,1
1328.558105,16.122433,0.018256,1
1328.578979,16.123169,0.018245,1
1328.599854,16.123091,0.018252,1
1328.620605,16.122505,0.018241,1
1328.641479,16.122032,0.018255,1
1328.662354,16.123539,0.018269,1
1328.683105,16.122522,0.018255,1
1328.703979,16.125074,0.018290,1
1328.724854,16.123741,0.018270,1
1328.745605,16.125362,0.018309,1
1328.766479,16.124672,0.018290,1
1328.787354,16.128096,0.018360,1
1328.808228,16.127045,0.018345,1
1328.828979,16.126669,0.018316,1
1328.849854,16.129700,0.018379,1
1328.870728,16.131332,0.018412,1
1328.891479,16.130676,0.018411,1
1328.912354,16.130938,0.018411,1
1328.933228,16.131002,0.018406,1
1328.953979,16.131714,0.018438,1
1328.974854,16.133455,0.018470,1
1328.995728,16.134594,0.018482,1
1329.016479,16.134846,0.018459,1
1329.037354,16.140821,0.018574,1
1329.058228,16.187340,0.019389,1
1329.078979,16.233850,0.020236,1
1329.099854,16.247700,0.020499,1
1329.120728,16.243439,0.020415,1
1329.141479,16.218948,0.019971,1
1329.162354,16.159901,0.018904,1
1329.183228,16.135021,0.018485,1
1329.203979,16.134220,0.018482,1
1329.224854,16.133911,0.018431,1
1329.245728,16.131660,0.018424,1
1329.266479,16.134443,0.018449,1
1329.287354,16.132441,0.018432,1
1329.308228,16.132940,0.018452,1
1329.328979,16.132977,0.018445,1
1329.349854,16.133114,0.018461,1
1329.370728,16.131008,0.018412,1
1329.391479,16.130108,0.018393,1
1329.412354,16.129955,0.018391,1
1329.433228,16.130362,0.018410,1
1329.453979,16.128036,0.018357,1
1329.474854,16.126919,0.018345,1
